Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Male life expectancy,Female life expectancy ,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Year,Country
1257621191.0,607376801.0,650244390.0,20.945,7.267,8.0,23.5336146632396,49.0791045489437,62.9009276008711,18.8787932333411,8.222,1823051829895.13,3.3281644661496,-16031234447.2047,313418588544.378,692.779356959802,35.0,71.4717185048681,65.765,69.106,109.70790287368,23.8253688812256,95.8912353515625,2011,India
1240613620.0,599047591.0,641566029.0,21.438,7.385,8.0,22.3778885601175,51.0560741481718,65.2954682077202,17.7466005776396,8.318,1675615519484.96,8.29745344966793,-17955017307.6604,285298827459.915,637.125844225376,36.2,71.4046951586205,65.327,68.645,112.527946472168,18.6971797943115,93.21315047900283,2010,India
1223640160.0,590747758.0,632892402.0,21.934,7.479,8.0,21.3716414500999,51.6067057038206,65.7052549056436,16.8000756543493,8.406,1341888016994.9,8.34439086969381,-8009501808.98814,224689354760.858,595.605655832676,37.4,71.1434979201925,64.962,68.215,113.051681518555,16.8205890655518,99.3028717041016,2009,India
1206734806.0,582492786.0,624242020.0,22.276,7.558,8.910219675262654,20.4413601895782,52.1381760245596,66.0425511467706,15.9656080475653,8.486,1198895139005.92,1.30433286633509,-7158167177.84992,201305791744.972,558.426753458539,39.4,69.0051215885826,64.654,67.786,114.626556396484,15.8141202926636,98.2635498046875,2008,India
1189691809.0,574185530.0,615506279.0,22.713,7.642,8.910219675262654,19.8286208671996,52.3689385382476,66.0735450706078,15.4688895225163,8.534,1216736438834.96,6.63643307087109,-5094798844.2417,203804810665.457,538.786595949405,41.5,67.8834329697327,64.365,67.342,114.114318847656,13.8339099884033,93.21315047900283,2007,India
1172373788.0,565762396.0,606611392.0,23.22,7.743,8.910219675262654,19.0395481140648,52.7842666083331,66.1906401538719,14.858057480055,8.614,940259888787.721,6.67710412235489,-7344611536.03907,158052441543.0,506.222508618557,43.2,66.8056737084907,64.053,66.891,101.40434502229733,12.1438102722168,93.21315047900283,2006,India
1154638713.0,557161047.0,597477666.0,23.94,7.876,8.910219675262654,18.4471648508297,53.06525537808,66.0832510815645,14.4926408244007,8.697,820383763511.445,6.78647370527894,-5898790485.94392,144553316954.982,465.176677304081,44.2,65.9898036089149,63.719,66.379,101.40434502229733,11.3199701309204,93.21315047900283,2005,India
1136264583.0,548274218.0,587990365.0,24.728,8.04,8.910219675262654,17.994375700714,54.4443254272337,67.8681493080051,13.8809818133127,8.551,709152728830.775,7.17832378407709,-4979798919.83654,126333364868.721,448.972015525718,44.9,65.5837437121253,63.313,65.831,101.40434502229733,11.6037998199463,93.21315047900283,2004,India
1117415123.0,539178882.0,578236241.0,25.375,8.188,8.910219675262654,17.4526470337314,55.901386771343,69.6609905595582,13.2143225657073,8.397,607700687237.318,7.74577591675194,-4506402865.5395,119060706358.411,428.213284527025,45.6,64.5192394352755,62.981,65.287,106.22322845459,11.2758102416992,82.9625930786133,2003,India
1098313039.0,529978166.0,568334873.0,26.082,8.363,8.910219675262654,16.9283386121368,57.326926169324,71.3877361298916,12.5758656963059,8.248,514939140318.756,3.12616624895135,-3447920534.12896,100591009184.649,408.776900626416,45.8,64.329205786967,62.573,64.729,98.0657272338867,10.7845497131348,78.67822265625,2002,India
1078970907.0,520679575.0,558291332.0,26.728,8.558,8.910219675262654,16.6642641747332,58.4700066260452,72.8722413111432,12.1488558876136,8.039,485440139204.171,-0.734722635031559,-4207684849.52075,104946744885.686,392.360903573464,47.1,63.6479663387743,62.114,64.131,98.9954681396484,10.3922300338745,76.3768005371094,2001,India
1059633675.0,511410094.0,548223581.0,27.001,8.701,8.910219675262654,16.3199193126825,59.6447285589934,74.3599144863006,11.6653596991261,7.856,468395521654.458,3.60236292656715,-4975983268.89377,101225246807.829,392.510175745406,46.9,63.7273945117512,61.754,63.639,93.9977722167969,9.65246963500977,71.4690093994141,2000,India
1040500054.0,502255694.0,538244360.0,27.26,8.875,8.910219675262654,16.167349224696,60.1915752034813,74.9221098558772,11.504018208079,7.682,458821052615.79,0.787704760421335,-3560933711.84936,105402950260.464,391.119633714118,47.1,63.4604001610669,61.351,63.111,92.6203002929688,33.94007270469477,68.8994216918945,1999,India
1021434576.0,493147163.0,528287413.0,27.784,9.05,8.910219675262654,15.752338706816,60.9287505803933,75.5993266521104,11.1326296846436,7.517,421351317224.941,4.97148495370739,-3558538142.64089,101884651113.008,385.126966761305,48.0,62.0158176745031,61.028,62.595,92.0035095214844,33.94007270469477,93.21315047900283,1998,India
