ID,Name,Address,Latitude,Longitude,Image Link,Detail URL,Category
15364,Opera Buffet - Park Hyatt Saigon,"Lobby Park Hyatt Hotel, 2 Công Trường Lam Sơn",10.777519,106.703572,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwesftgde2u1b9@resize_ss640x400,https://www.foody.vn/ho-chi-minh/opera-buffet-park-hyatt-saigon,food/sang-trong
1818,Dynasty Restaurant - New World Saigon Hotel - Ẩm Thực Trung Hoa,"Tầng 1, New World Saigon Hotel, 76 Lê Lai, P. Bến Nghé",10.770263,106.694359,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9rz08452vvd6@resize_ss640x400,https://www.foody.vn/ho-chi-minh/dynasty-restaurant-new-world-saigon-hotel-am-thuc-trung-hoa,food/sang-trong
4471,Brotzeit - Nhà Hàng Đức - Mplaza Saigon,"Tầng 1 - Mplaza Saigon, 39 Lê Duẩn, P. Bến Nghé",10.7817316656218,106.7000045967003,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwfeody03e1n8f@resize_ss640x400,https://www.foody.vn/ho-chi-minh/brotzeit-nha-hang-duc-kumho-asiana,food/sang-trong
1463,New York Steakhouse Sài Gòn,"25 - 27 Nguyễn Đình Chiểu, P. Đa Kao",10.789045,106.699884,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lweqcer0168r35@resize_ss640x400,https://www.foody.vn/ho-chi-minh/new-york-steakhouse-winery,food/sang-trong
1120423,ROSÉ Brasserie - Đồng Khởi,"8 Đồng Khởi, P. Bến Nghé",10.7741797467578,106.7056003820721,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwa4pqc9qdwb9d@resize_ss640x400,https://www.foody.vn/ho-chi-minh/rose-brasserie-dong-khoi,food/sang-trong
93505,Buffet Liberty Central Citypoint - Pasteur,"Tầng 3, 59 - 61 Pasteur",10.774579,106.700748,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8yq2lme6e3b4@resize_ss640x400,https://www.foody.vn/ho-chi-minh/buffet-liberty-central-citypoint-pasteur,food/sang-trong
178922,Above Sky Bar - Liberty Central Citypoint - Pasteur,59 - 61 Pasteur,10.774624,106.700767,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwa22b76n9p596@resize_ss640x400,https://www.foody.vn/ho-chi-minh/above-sky-bar-liberty-central-citypoint-pasteur,food/sang-trong
1613,Square One - Park Hyatt Saigon,"Tầng Lửng Park Hyatt Hotel, 2 Công Trường Lam Sơn",10.77762,106.703714,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9e0tzlg8uz91@resize_ss640x400,https://www.foody.vn/ho-chi-minh/square-one-park-hyatt-saigon,food/sang-trong
4435,Kingdom Karaoke Nhà Hàng - Phạm Viết Chánh,"67 - 69 Phạm Viết Chánh, P. Nguyễn Cư Trinh",10.765978,106.682434,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwb3824pucbd96@resize_ss640x400,https://www.foody.vn/ho-chi-minh/kingdom-karaoke-nha-hang-pham-viet-chanh,food/sang-trong
1557,Maxim's - Nhà Hàng Sang Trọng,"13 - 15 - 17 Đồng Khởi, P. Bến Nghé",10.773232,106.706108,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwdt7mujhuxn9d@resize_ss640x400,https://www.foody.vn/ho-chi-minh/maxims-nam-an,food/sang-trong
102264,Beer & Barrel - Thế Giới Bia Bỉ,"12 Lê Quý Đôn, P. 6",10.781005,106.691218,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwerg78tqzfdfe@resize_ss640x400,https://www.foody.vn/ho-chi-minh/beer-barrel-le-quy-don,food/sang-trong
43660,Food Connexion Buffet - Pullman Hotel,148 Trần Hưng Đạo,10.764441,106.691935,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwe6ymckp3h798@resize_ss640x400,https://www.foody.vn/ho-chi-minh/food-connexion-buffet-pullman-hotel,food/sang-trong
5476,Rooftop Grand Lounge,"Tầng 20 Grand Hotel, 8 Đồng Khởi",10.774042,106.705726,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwg17mhyrjrt22@resize_ss640x400,https://www.foody.vn/ho-chi-minh/grand-cafe-grand-hotel-saigon,food/sang-trong
1456,3G Trois Gourmands - Món Pháp,"39 Trần Ngọc Diện, P. Thảo Điền",10.806082,106.740748,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwdl7rlgqrizcc@resize_ss640x400,https://www.foody.vn/ho-chi-minh/3g-trois-gourmands,food/sang-trong
5281,Martini Bar - Park Hyatt Saigon,"Lobby Park Hyatt Hotel, 2 Công Trường Lam Sơn",10.777399,106.703661,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgi35ueql0905@resize_ss640x400,https://www.foody.vn/ho-chi-minh/martini-bar-park-hyatt-saigon,food/sang-trong
4859,Mandarine - Ẩm Thực Việt Nam Cao Cấp,"11A Ngô Văn Năm, P. Bến Nghé",10.781172,106.705978,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwe3n7bvvaope5@resize_ss640x400,https://www.foody.vn/ho-chi-minh/mandarine-am-thuc-3-mien,food/sang-trong
86576,Saigon Steak 123,"123 Lê Lợi, P. Bến Thành",10.77248,106.699729,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwg1kfyljs2jdd@resize_ss640x400,https://www.foody.vn/ho-chi-minh/saigon-steak-123,food/sang-trong
1082822,K - Pub - Nướng Phong Cách Pub Hàn Quốc - Đồng Đen,"103 Đồng Đen, P. 13",10.7931071,106.6445166,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwa1bzo98h5n74@resize_ss640x400,https://www.foody.vn/ho-chi-minh/k-pub-nuong-phong-cach-pub-han-quoc-dong-den,food/sang-trong
106924,Victoria Cruis - Lady Hau ,"100A Ung Văn Khiêm, P. 25",10.804488,106.72133,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwa8ehfy21nd71@resize_ss640x400,https://www.foody.vn/ho-chi-minh/lady-hau-dining-cruise,food/sang-trong
956676,Ilmirack BBQ Restaurant - Nhà Hàng BBQ Hàn Quốc,"222 Phạm Thái Bường, P. Tân Phong",10.7275816,106.7092311,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwg1o0e9k72za3@resize_ss640x400,https://www.foody.vn/ho-chi-minh/ilmirack-bbq-restaurant-nha-hang-bbq-han-quoc,food/sang-trong
804,Song Ngư Restaurant - Nhà Hàng Song Ngư,"70 - 72 Sương Nguyệt Ánh, P. Bến Thành ",10.772561,106.689686,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8tlz44x0491b@resize_ss640x400,https://www.foody.vn/ho-chi-minh/song-ngu,food/sang-trong
1066533,The Gate - Wine & Dining,17 Thảo Điền,10.8025931,106.7380479,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwaucoa3zf174e@resize_ss640x400,https://www.foody.vn/ho-chi-minh/the-gate-wine-dining,food/sang-trong
110419,La Maison Wine Club & Restaurant ,201B Nam Kỳ Khởi Nghĩa,10.7875323,106.6861135,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9tnm2592opbd@resize_ss640x400,https://www.foody.vn/ho-chi-minh/la-maison-wine-club-restaurant,food/sang-trong
46340,Ngon Restaurant - Thảo Điền Village,"195 Nguyễn Văn Hưởng, P. Thảo Điền",10.816203,106.733224,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwbmkatwotzvcd@resize_ss640x400,https://www.foody.vn/ho-chi-minh/ngon-restaurant-thao-dien-village,food/sang-trong
134600,Bamboo Chic Restaurant & Bar - Le Meridien,"3C Tôn Đức Thắng, P. Bến Nghé",10.77967,106.707299,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8d4ggch5gbad@resize_ss640x400,https://www.foody.vn/ho-chi-minh/bamboo-chic-le-meridien-ton-duc-thang,food/sang-trong
278503,Việt Kitchen Buffet - Renaissance Riverside Hotel,"8 - 15 Tôn Đức Thắng, P. Bến Nghé",10.774513,106.706569,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8otuftfi6x76@resize_ss640x400,https://www.foody.vn/ho-chi-minh/viet-kitchen-buffet-renaissance-riverside-hotel,food/sang-trong
5028,Sumo BBQ - Lê Văn Sỹ - Buffet Nướng & Lẩu,"300 Lê Văn Sỹ, P. 1",10.796485,106.665391,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwakj5hhy861ef@resize_ss640x400,https://www.foody.vn/ho-chi-minh/sumo-bbq-le-van-sy,food/buffet
5026,Sumo BBQ - Phan Xích Long - Buffet Nướng & Lẩu,"210 Phan Xích Long, P. 2",10.797516,106.689863,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwagfn6yq47vd1@resize_ss640x400,https://www.foody.vn/ho-chi-minh/sumo-bbq-phan-xich-long,food/buffet
83224,Sumo BBQ - Cao Thắng - Buffet Nướng & Lẩu,59B Cao Thắng,10.770565,106.68113,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwaar6eo9l210a@resize_ss640x400,https://www.foody.vn/ho-chi-minh/sumo-bbq-cao-thang-buffet-nuong-lau,food/buffet
135897,Sumo BBQ - SC VivoCity - Buffet Nướng & Lẩu,"Tầng 2 Lô 02 - 39 SC Vivo City, 1058 Nguyễn Văn Linh, KP. 1, P. Tân Phong",10.7300774,106.7036149,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwi2opx2tk9na8@resize_ss640x400,https://www.foody.vn/ho-chi-minh/sumo-bbq-buffet-nuong-lau-sc-vivocity,food/buffet
876056,Sumo BBQ - Gigamall - Buffet Nướng & Lẩu,"Gian Hàng 05 - 16, 05 - 17, Tầng 5 Giga Mall, 240 - 242 Phạm Văn Đồng, P. Hiệp Bình Chánh",10.828425,106.721999,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwdm2h58wlw92b@resize_ss640x400,https://www.foody.vn/ho-chi-minh/sumo-bbq-giga-mall-buffet-nuong-lau,food/buffet
710660,Sumo BBQ - Aeon Mall Bình Tân - Buffet Nướng & Lẩu,"Tầng Trệt Aeon Mall Bình Tân, 1 Đường Số 17A, P. Bình Trị Đông",10.742674,106.612107,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwe7gp40tc6190@resize_ss640x400,https://www.foody.vn/ho-chi-minh/sumo-bbq-aeon-mall-binh-tan-710660,food/buffet
718130,Sumo BBQ - Vạn Hạnh Mall - Buffet Nướng & Lẩu,"Tầng 5 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12",10.770843,106.6699317,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwansrf9tkgrbd@resize_ss640x400,https://www.foody.vn/ho-chi-minh/sumo-bbq-van-hanh-mall-buffet-nuong-lau,food/buffet
648915,Sumo BBQ - TTTM Đông Phương - Buffet Nướng & Lẩu,"TTTM Đông Phương, 685 Âu Cơ, P. Tân Thành",10.7897904,106.6402486,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9jsn4rnx0b95@resize_ss640x400,https://www.foody.vn/ho-chi-minh/sumo-bbq-tttm-dong-phuong-buffet-nuong-lau,food/buffet
787165,Sumo BBQ - Phan Văn Trị - Buffet Nướng & Lẩu,"439A1 Phan Văn Trị, P. 5",10.822999,106.692762,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwevoq92ek0p94@resize_ss640x400,https://www.foody.vn/ho-chi-minh/sumo-bbq-phan-van-tri-buffet-nuong-lau,food/buffet
1232,Au Lac Do Brazil - Thịt Nướng Brazil - Pasteur,"238 Pasteur, P. 6",10.785172,106.690684,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwaqkqtoj9i1be@resize_ss640x400,https://www.foody.vn/ho-chi-minh/au-lac-do-brazil-thit-nuong-brazil-pasteur,food/buffet
643,Lotte Hotel Saigon - Buffet Atrium Café,"2A - 4A Tôn Đức Thắng, P. Bến Nghé, Quận 1",10.778231,106.706997,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwbuxdyqyuord2@resize_ss640x400,https://www.foody.vn/ho-chi-minh/lotte-hotel-saigon-buffet-atrium-cafe,food/buffet
8,Buffet Hải Sản - Café Central An Đông - Khách Sạn Windsor Plaza,"Windsor Plaza, 18 An Dương Vương",10.7574668692664,106.6733869364624,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw94xqz2zr2z59@resize_ss640x400,https://www.foody.vn/ho-chi-minh/buffet-windsor-cafe-central-an-dong-windsor-plaza,food/buffet
33141,La Brasserie Restaurant - Hotel Nikko Saigon,"Hotel Nikko Saigon, 235 Nguyễn Văn Cừ",10.764356,106.68275,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwbpfd5v59ej7f@resize_ss640x400,https://www.foody.vn/ho-chi-minh/la-brasserie-nikko-saigon,food/buffet
45720,Hana BBQ & Hot Pot Buffet - Mạc Đĩnh Chi,45A Mạc Đĩnh Chi,10.786167,106.697942,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9wuiqbqf2z1c@resize_ss640x400,https://www.foody.vn/ho-chi-minh/hana-bbq-hot-pot-buffet-mac-dinh-chi,food/buffet
13986,Hana BBQ & Hot Pot Buffet - Điện Biên Phủ,"243 Điện Biên Phủ, P. 6",10.783522,106.691079,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgtjvxzpior1a@resize_ss640x400,https://www.foody.vn/ho-chi-minh/hana-buffet-dien-bien-phu,food/buffet
110997,Hana BBQ & Hot Pot Buffet - Phạm Viết Chánh ,25 - 25A Phạm Viết Chánh,10.767657,106.685126,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwi2aeir4dztf6@resize_ss640x400,https://www.foody.vn/ho-chi-minh/hana-bbq-hot-pot-buffet-pham-viet-chanh,food/buffet
147114,Hana BBQ & Hot Pot Buffet - Phan Văn Trị,"705 - 707 Phan Văn Trị, P. 7",10.827647,106.6868369999999,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9g20la2hg946@resize_ss640x400,https://www.foody.vn/ho-chi-minh/hana-bbq-hot-pot-buffet-phan-van-tri,food/buffet
5889,Hana BBQ & Hot Pot Buffet - Nguyễn Quý Đức,"65 Nguyễn Quý Đức, P. An Phú",10.7997318776188,106.7385020479559,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwh2isfmmwuzd5@resize_ss640x400,https://www.foody.vn/ho-chi-minh/hana-buffet,food/buffet
787905,Hana BBQ & Hot Pot Buffet - Nguyễn Văn Linh,"1034 Nguyễn Văn Linh, P. Tân Phong",10.7292160310791,106.7051852803566,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8yl4gb3ahl08@resize_ss640x400,https://www.foody.vn/ho-chi-minh/hana-bbq-hot-pot-buffet-nguyen-van-linh,food/buffet
886508,Hana BBQ & Hot Pot Buffet - Tân Sơn Nhì,"206 Tân Sơn Nhì, P. Tân Sơn Nhì",10.798928,106.631961,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw94x1ilz26x85@resize_ss640x400,https://www.foody.vn/ho-chi-minh/hana-bbq-hot-pot-buffet-tan-son-nhi,food/buffet
